Time,Shell side Flow rate,Tube side In temp,Shell side out temp,Tube side out temp,Tube side Flow rate,Shell side In temp,Fluid Density,Density,Density correction,MMJoules,MM kcal/hr,Unknown,Delta T1,Delta T2,LMTD,UA,U value,Ch,Cc,G_s,Re_s,Nu_s,ho,G_t,v_t,Re_t,f,Nu_t,hi,U_clean,Rf_val,Cp_val
2017-05-19,454.2502493931697,222.0169738769531,249.49530383868097,260.59040489196775,982.7580180045886,333.1745198665521,31.299999237060547,869.1646232378378,869.0418621723287,41179.89946527179,9.471376877012512,9.544470395981351,72.58411497458432,27.478329961727827,46.43608577911584,203966.4340219282,176.74734317324803,0.1131890874072756,0.24554163416747657,1358.7922422401714,59727.981822357244,509.0954868374086,1390.9979829105785,235.50694486502337,3.114042114064283,97163.4906160837,0.004525563436785214,903.5128121497414,3312.4537234857135,770.2631584030354,0.004359536072640235,22.946358169290253
2017-05-20,460.3553914811876,222.85719243685404,250.8968880785836,261.8934859434764,984.2063562605116,334.55998404290943,30.803575960795087,871.8428866498115,871.7196273346964,41874.93740023595,9.631235602054268,9.699803176965261,72.66649809943306,28.039695641729566,46.85570334570119,205499.0150132034,178.07540295771528,0.11514712469115107,0.24666716221974572,1377.0544660211262,60530.72836161213,513.1898788646116,1402.1850611666928,236.82727163509543,3.1314975356812225,97708.22002016808,0.0045201897513227314,907.9810361167442,3328.83510172168,775.4819806214487,0.0043260780781496245,22.963190300696716
2017-05-21,492.660996664895,226.82730711036257,257.13568150732254,267.38945496877034,1000.9994222535028,339.5891800774468,29.600000381469727,878.3364349158363,878.2108213227199,44572.147774222256,10.25159398807112,10.307653421962364,72.19972510867647,30.308374396959948,48.26116888914288,212420.56389641002,184.07327893969673,0.12433277177116979,0.25273795086852985,1473.6897584907213,64778.493996854806,534.5041124734346,1460.421790274893,244.18697736483534,3.195103496542595,100744.62601243537,0.004490943195949859,932.8351619560688,3419.9551617511206,803.0119666514634,0.004187307586131906,22.922856269163333
2017-05-22,492.4891239325205,227.4453680674235,257.7770055876838,268.06129819022283,1002.0101596302457,340.4983788649241,29.508298642105526,878.836714170836,878.710734067572,44701.60926560664,10.281370131089528,10.343349846107253,72.43708067470128,30.331637520260283,48.36765327300487,212566.85730422172,184.20004965703788,0.12428992492717848,0.25313717451477574,1473.1756380566321,64755.89497473267,534.3922224389769,1460.1160739284267,244.18566326979376,3.1950867872776523,100744.08385406584,0.004490948313937615,932.8307320096089,3419.9389207056715,802.9032857556203,0.004183400167350063,22.941748143885768
2017-05-23,485.0287111918131,226.87165078057183,256.97794716623093,267.317449982961,995.3256677839491,340.10841075049507,30.04718726873398,875.9112809686463,875.7856410797335,44071.64971728762,10.13647943497615,10.202875217487913,72.79096076753405,30.106296385659117,48.34781932282234,209651.8836826535,181.67407598150217,0.12194009443430476,0.25061476495783314,1450.8594126510873,63774.948024985206,529.5202959003208,1446.804543648993,244.8272571656451,3.2014940443757864,101008.7873111746,0.004488453814936963,934.9932815274518,3427.8672479039956,798.8106830982613,0.0042525015849072135,22.743070395210843
2017-05-24,483.2786725362142,226.74844719303977,257.06408819622465,266.98111991882325,995.0075335608589,339.61846289104886,30.399999618530273,873.9962960679626,873.870729238777,43728.28548338166,10.057505661177784,10.073687232282195,72.63734297222561,30.31564100318484,48.43311219513057,207658.07728615767,179.946340802563,0.1218288895495264,0.2499835381981345,1445.624547173248,63544.84077210056,528.3731256716625,1443.6701385808367,241.5304518984936,3.17603987230397,99648.61889736616,0.00450136428409541,923.8740851101969,3387.1021108973932,794.5973916478895,0.004298713226163629,22.64622847922747
2017-05-25,491.38792607519366,226.60637049939896,257.9850456025865,267.35803990364076,997.4192418734233,339.72920713954505,30.116527667310503,875.5303712258004,875.4048886480942,44478.44308173062,10.230041908798041,10.159126011363771,72.37116723590428,31.378675103187565,49.05139376418621,208555.54782767684,180.72404491133173,0.12516001264872711,0.25102982238507937,1469.881640733117,64611.10182229499,533.674965980756,1458.1563192018377,241.53388009187245,3.17608479428282,99650.033272791,0.004501350738669058,923.8856565356535,3387.144533994027,799.6828031912037,0.004282802204092691,22.5994662121202
2017-05-26,492.213949086931,227.2673287709554,259.0897432380252,268.298781018787,998.988351811303,341.16553171475726,30.0,876.1609907120743,876.0351161861131,44885.78611070841,10.323730805462935,10.225737585245321,72.86675069597032,31.822414467069837,49.54281750634386,208379.4909913364,180.57148266147001,0.1257827256190535,0.2516053020933578,1472.352511496006,64719.71307236213,534.2130496688064,1459.626521441038,243.09354792675117,3.188695773494302,100293.50801671119,0.004495214352625597,929.1481452651948,3406.437841352331,801.6916924548225,0.004290610716405077,22.52380614155431
2017-05-27,493.5462985409631,227.02923974990844,258.9872069252862,267.73843440479703,999.3877819908989,340.6146397749583,30.0,876.1609907120743,876.0352573729025,44550.988999635716,10.246727469916216,10.197210480723657,72.87620537016127,31.957967175377746,49.63739367297606,206432.95220579195,178.88470728404852,0.1255317666947646,0.25170594322998374,1476.3379492684896,64894.89964425232,535.0802013953488,1461.995833944653,243.0840591699588,3.1885724541835265,100289.59322459293,0.004495251528376051,929.1161410199868,3406.320507563832,802.5128450889782,0.004344106811240162,22.29057246606623
2017-05-28,500.29733122189845,226.83955578274197,259.46720910072327,267.48243085543317,1002.7535025172764,340.1476194858551,29.412875135739643,879.3719347638036,879.2463139072244,44793.73141758257,10.30255822604399,10.254395772850076,72.66518863042195,32.62765331798129,50.00218522135174,206036.95031088204,178.54155139591163,0.12770124938864066,0.25348252638710017,1496.5322162968937,65782.57237043731,539.4597590543354,1473.962068231143,243.3399733461862,3.191927197918589,100395.17616047894,0.004494249558128888,929.9792529687645,3409.4848438632935,806.9382018480471,0.00436168483301799,22.125802321295033
