Timestamp,Rf_val
2018-07-31,0.0054966704451703974
2018-08-31,0.005660969306108667
2018-09-30,0.005498033094991494
2018-10-31,0.005038201230916032
2018-11-30,0.005059765285876477
2018-12-31,0.005151217176756848
2019-01-31,0.005286456977233365
2019-02-28,0.0056768843888114215
2019-03-31,0.005524701082924049
2019-04-30,0.005537154136232406
2019-05-31,0.005771322768257825
2019-06-30,0.005834369781552177
2019-07-31,0.0064163060272285554
2019-08-31,0.006066869792309122
2019-09-30,0.00684118876561993
2019-10-31,0.006546194470195761
2019-11-30,0.005967392431569221
2019-12-31,0.005899135036420339
2020-01-31,0.0060530074364955385
2020-02-29,0.006548078268580903
2020-03-31,0.006821061151038832
2020-04-30,0.007745361375756337
2020-05-31,0.007765828176565907
2020-06-30,0.007377741282008079
2020-07-31,0.007462561566680952
2020-08-31,0.0066517475187006835
2020-09-30,0.00709616406329531
2020-10-31,0.007414715765228813
2020-11-30,0.0072396986687102895
2020-12-31,0.0070989297951194776
2021-01-31,0.007359942446556945
2021-02-28,0.007837364098250438
2021-03-31,0.0081786877881826
