Timestamp,Tube Inlet Temp,Shell inlet Temp,Tube outlet Temp,Shell outlet Temp,Shell flow rate,Tube flow rate,Fluid Density,Density,Specific Gravity,Specific Heat,MMJoules,MM kcal/hr,Unknown,Delta T1,Delta T2,LMTD,UA,U value,G_s,Re_s,Nu_s,ho,G_t,v_t,Re_t,f,Nu_t,hi,U_clean,Rf_val
2017-05-19,220.1962938,330.8474427,255.9801143,240.2346607,336.35036875,921.9630311,32.6193897273805,0.8621772249765632,0.7404958227531633,2818.3844221533,34426.51495752339,7.91809844023038,0.0065209053453795865,74.86732839999999,20.0383669,41.597950744216575,190348.28155161574,164.94651780902578,1006.1200238033219,9128.843151532335,310.41449773432595,845.7228449424873,721790.6235148552,2942.8780119310286,126100309.7593309,0.001457782970203477,918804.1528135404,2929156.011653112,820.410996209349,0.004843669885358266
2017-05-20,220.9269086,332.019514,257.2093019,241.946614,335.79123,930.7924503,31.2999992370605,0.869164623237838,0.7470499664380381,2822.4862885764996,35604.12151102049,8.188947947534713,0.006528554835260912,74.8102121,21.01970540000002,42.37160990266182,193264.97072796558,167.47397810049011,1004.4474800967398,9113.667636881755,310.1047804734678,844.8790217161478,729763.5912450758,2971.0612500276793,127493225.74871583,0.0014558527095921722,928231.856608628,2959211.6172605776,819.6196968273504,0.004750998839900907
2017-05-21,221.8441071,333.2652306,259.557684,245.3755032,332.25982275,981.7466888,30.803575960795,0.8718230585022959,0.7491645029919959,2829.3211487723,39239.7842889209,9.025150386451807,0.006321163863522485,73.7075466,23.531396099999995,43.945948483030925,205369.33888084666,177.96303195913922,993.884032345416,9017.822155845892,308.14388169414696,839.5365621777056,771576.8525997272,3133.705632761151,134798204.55710417,0.0014461217293328305,977563.7541983295,3116482.156307058,814.6045287557357,0.0043915550020738724
2017-05-22,223.0794936,334.8398941,261.1625644,247.1504268,326.04469955,985.0366424,29.6000003814697,0.8783364349158366,0.7549452952110366,2835.265827394,40147.97241226835,9.23403365482172,0.006236543701075731,73.67732969999997,24.070933199999985,44.343286181153786,208239.72353105058,180.450367011309,975.2928236449062,8849.13827697546,304.6724172621879,830.0785735948855,775789.0919243455,3144.2070647959704,135534103.12146652,0.0014451760750973325,982523.3924925458,3132293.5283830795,805.6982345523793,0.004300530553515279
2017-05-23,226.8366782,339.5925391,266.3886986,252.9300831,310.9132634,1000.999204,29.5082986421055,0.8788366885021921,0.753217538329592,2854.0679136424,42555.64099344333,9.787797428491967,0.005864008302443059,73.20384050000001,26.093404899999996,45.668884081880606,214320.92386893535,185.72003801467534,930.0303761679064,8438.45786718692,296.10817742546897,806.7453422788702,793588.8082549953,3195.159076928916,138643799.57608798,0.0014412458676023622,1003461.7643344546,3199045.2486132793,783.7022633642607,0.004108453823441164
2017-05-24,227.464947,340.5252578,267.051921,253.5500947,312.50640295,1002.093797,30.0471872687339,0.8759050676915509,0.7499133541205508,2856.771004724,42492.98115396526,9.77338566541201,0.005889374478994653,73.47333680000003,26.085147699999993,45.761086092053624,213574.16311649015,185.07293164340567,934.7959116062201,8481.69706779937,297.01761309694604,809.2230955055642,795209.0286898271,3198.6529845619266,138926859.91527027,0.0014408932937374,1005366.1215983048,3205116.356923642,786.040727482582,0.004131076588040861
2017-05-25,226.8435539,340.0802722,266.3223661,252.7165959,314.8497101,994.9933994,30.3999996185302,0.8739962960679629,0.748373068605263,2853.94347056,41948.63161951118,9.648185272487572,0.00594779867633503,73.75790610000001,25.873041999999998,45.709694528449674,211075.25158547165,182.90749704113662,941.8054126045344,8545.296473109118,298.3519153821414,812.8583958310486,788793.0320744246,3175.9887309333653,137805954.30322826,0.0014422944680551266,997823.4408013206,3181070.221811157,789.4685212066097,0.0042005695101242115
2017-05-26,226.7454014,339.6084594,266.1488565,252.829467,319.1773894,995.0081198,30.1165276673105,0.875529266977443,0.749964243947243,2853.3748817847,41949.841641268344,9.64846357749172,0.006001933652019638,73.4596029,26.084065600000002,45.75529560161668,210870.97024788553,182.73047681792508,954.7507374945018,8662.753473934341,300.8057423248984,819.5438358416538,788647.5489469838,3176.035718003373,137780537.69786188,0.0014423263955479313,997652.3629068198,3180524.8239245634,795.7732186729002,0.0042159014308061245
2017-05-27,226.6203506,339.7964338,266.5296443,253.7116568,307.1849758,997.5838604,30.0,0.8761609907120743,0.7506701228062743,2853.9101393257,42646.4500595376,9.808683513693648,0.005735606805617121,73.26678950000002,27.09130619999999,46.41243932469692,211337.38403778026,183.13464821298115,918.8780030553153,8337.268881277112,293.9725869318535,800.9269359831748,790837.4150064539,3184.2574038199227,138163117.8803058,0.0014418465445978892,1000227.2694040566,3188733.6493012556,778.2096270931,0.004175462352115821
2017-05-28,227.2894553,341.1662664,267.313665,254.7074733,304.0845457,998.986742,30.0,0.8761609907120743,0.7502733437191743,2856.9515307878996,42852.37368603706,9.856045947788525,0.005699371222465267,73.85260139999997,27.418018000000018,46.86239747629233,210318.85858538706,182.25204383482415,909.603731058512,8253.120496988504,292.1887301211997,796.0668264590139,792793.5282760324,3188.7353593069847,138504860.32081717,0.0014414192382575764,1002526.9222573673,3196064.9635528983,773.6210361295066,0.00419428436266677
